,start_station_name,start_count,end_count,deficit,popularity
0,1 Ave & E 110 St,790.0,809,-19.0,1599.0
1,1 Ave & E 16 St,4104.0,3908,196.0,8012.0
2,1 Ave & E 18 St,3529.0,3329,200.0,6858.0
3,1 Ave & E 30 St,2286.0,2365,-79.0,4651.0
4,1 Ave & E 44 St,1880.0,1928,-48.0,3808.0
5,1 Ave & E 5 St,2211.0,2085,126.0,4296.0
6,1 Ave & E 62 St,2941.0,2956,-15.0,5897.0
7,1 Ave & E 68 St,4321.0,4345,-24.0,8666.0
8,1 Ave & E 78 St,2921.0,2891,30.0,5812.0
9,1 Ave & E 94 St,914.0,950,-36.0,1864.0
10,1 Pl & Clinton St,489.0,455,34.0,944.0
11,10 Ave & W 28 St,3096.0,3069,27.0,6165.0
12,10 St & 2 Ave,150.0,159,-9.0,309.0
13,10 St & 5 Ave,404.0,423,-19.0,827.0
14,10 St & 7 Ave,511.0,513,-2.0,1024.0
15,11 Ave & W 27 St,2456.0,2426,30.0,4882.0
16,11 Ave & W 41 St,3508.0,3417,91.0,6925.0
17,11 Ave & W 59 St,3027.0,3022,5.0,6049.0
18,11 St & 35 Ave,112.0,102,10.0,214.0
19,11 St & 43 Ave,139.0,129,10.0,268.0
20,12 Ave & W 125 St,1408.0,1399,9.0,2807.0
21,12 Ave & W 40 St,5029.0,5180,-151.0,10209.0
22,12 St & 4 Ave,340.0,353,-13.0,693.0
23,14 St & 5 Ave,794.0,799,-5.0,1593.0
24,14 St & 7 Ave,595.0,542,53.0,1137.0
25,19 St & 24 Ave,261.0,272,-11.0,533.0
26,2 Ave & 36 St,320.0,341,-21.0,661.0
27,2 Ave & E 104 St,699.0,696,3.0,1395.0
28,2 Ave & E 122 St,345.0,348,-3.0,693.0
29,2 Ave & E 31 St,3462.0,3445,17.0,6907.0
30,2 Ave & E 72 St,1950.0,1963,-13.0,3913.0
31,2 Ave & E 96 St,1429.0,1412,17.0,2841.0
32,2 Ave & E 99 St,492.0,499,-7.0,991.0
33,21 St & 31 Dr,443.0,450,-7.0,893.0
34,21 St & 36 Ave,233.0,238,-5.0,471.0
35,21 St & 38 Ave,109.0,118,-9.0,227.0
36,21 St & 43 Ave,247.0,245,2.0,492.0
37,21 St & Hoyt Ave S,271.0,274,-3.0,545.0
38,21 St & Queens Plaza North,493.0,476,17.0,969.0
