,start_station_name,start_count,end_count,deficit,popularity,deficit_normalized,popularity_normalized
0,1 Ave & E 110 St,1338,1341,-3,2679,-0.013100436681222707,0.1703764945306538
1,1 Ave & E 16 St,3877,3886,-9,7763,-0.039301310043668124,0.49370389213940474
2,1 Ave & E 18 St,4111,4101,10,8212,0.02518891687657431,0.5222589671839226
3,1 Ave & E 30 St,2883,2907,-24,5790,-0.10480349344978165,0.3682269142711778
4,1 Ave & E 39 St,2668,2667,1,5335,0.0025188916876574307,0.33929025693207837
5,1 Ave & E 44 St,1775,1782,-7,3557,-0.03056768558951965,0.2262147036377512
6,1 Ave & E 6 St,3842,3861,-19,7703,-0.08296943231441048,0.4898880691935894
7,1 Ave & E 62 St,3814,3837,-23,7651,-0.10043668122270742,0.4865810226405495
8,1 Ave & E 68 St,6583,6652,-69,13235,-0.30131004366812225,0.8417069447977614
9,1 Ave & E 78 St,4061,4022,39,8083,0.0982367758186398,0.5140549478504197
10,1 Ave & E 94 St,1017,1008,9,2025,0.022670025188916875,0.12878402442126685
11,1 Pl & Clinton St,692,694,-2,1386,-0.008733624454148471,0.08814551004833376
12,1 St & 6 Ave,817,808,9,1625,0.022670025188916875,0.10334520478249809
13,10 Ave & W 14 St,925,939,-14,1864,-0.0611353711790393,0.11854489951666243
14,10 Ave & W 202 St,39,46,-7,85,-0.03056768558951965,0.005405749173238362
15,10 Ave & W 204 St,60,68,-8,128,-0.034934497816593885,0.008140422284406004
16,10 Ave & W 207 St,158,181,-23,339,-0.10043668122270742,0.021559399643856524
17,10 Ave & W 215 St,86,85,1,171,0.0025188916876574307,0.010875095395573645
18,10 Ave & W 28 St,4134,4150,-16,8284,-0.06986899563318777,0.526837954718901
19,10 St & 2 Ave,487,489,-2,976,-0.008733624454148471,0.06207071991859578
20,10 St & 5 Ave,723,735,-12,1458,-0.05240174672489083,0.09272449758331214
21,10 St & 7 Ave,1373,1399,-26,2772,-0.11353711790393013,0.17629102009666753
22,11 Ave & Prospect Ave,607,609,-2,1216,-0.008733624454148471,0.07733401170185704
23,11 Ave & W 27 St,2597,2607,-10,5204,-0.043668122270742356,0.3309590435003816
24,11 Ave & W 41 St,5335,5296,39,10631,0.0982367758186398,0.6761002289493767
25,11 Ave & W 59 St,2241,2241,0,4482,0.0,0.28504197405240395
26,11 St & 43 Ave,187,193,-6,380,-0.026200873362445413,0.024166878656830322
27,12 Ave & 36 St,123,116,7,239,0.017632241813602016,0.015199694734164335
28,12 Ave & W 125 St,670,649,21,1319,0.05289672544080604,0.08388450775883999
29,12 Ave & W 40 St,2979,2987,-8,5966,-0.034934497816593885,0.37941999491223605
30,12 St & 4 Ave,576,595,-19,1171,-0.08296943231441048,0.07447214449249555
31,14 St & 5 Ave,1059,1073,-14,2132,-0.0611353711790393,0.1355889086746375
32,14 St & 7 Ave,1039,1031,8,2070,0.020151133501259445,0.13164589163062834
33,16th St & 4th Ave,414,416,-2,830,-0.008733624454148471,0.05278555075044518
34,17 St & 5 Ave,711,731,-20,1442,-0.08733624454148471,0.09170694479776138
35,18 St & 27 Ave,516,520,-4,1036,-0.017467248908296942,0.06588654286441109
36,19 St & 24 Ave,359,355,4,714,0.010075566750629723,0.04540829305520224
37,19 St & 8 Ave,139,66,73,205,0.18387909319899245,0.01303739506486899
38,2 Av & 37 St,38,48,-10,86,-0.043668122270742356,0.005469346222335284
39,2 Ave & 32 St,66,71,-5,137,-0.021834061135371178,0.0087127957262783
40,2 Ave & 36 St,209,251,-42,460,-0.18340611353711792,0.029254642584584076
41,2 Ave & 39 St,124,146,-22,270,-0.09606986899563319,0.017171203256168915
42,2 Ave & 43 St,40,53,-13,93,-0.056768558951965066,0.005914525566013737
43,2 Ave & 44 St,32,34,-2,66,-0.008733624454148471,0.004197405240396845
44,2 Ave & E 104 St,853,850,3,1703,0.007556675062972292,0.108305774612058
45,2 Ave & E 122 St,599,601,-2,1200,-0.008733624454148471,0.07631645891630628
46,2 Ave & E 125 St,605,628,-23,1233,-0.10043668122270742,0.07841516153650471
47,2 Ave & E 29 St,3828,3848,-20,7676,-0.08733624454148471,0.4881709488679725
48,2 Ave & E 31 St,3044,3056,-12,6100,-0.05240174672489083,0.3879419994912236
49,2 Ave & E 72 St,3510,3539,-29,7049,-0.12663755458515283,0.44829559908420247
50,2 Ave & E 96 St,2013,2048,-35,4061,-0.15283842794759825,0.2582676163825999
51,2 Ave & E 99 St,988,994,-6,1982,-0.026200873362445413,0.1260493513100992
52,20 Ave & 21 St,169,170,-1,339,-0.004366812227074236,0.021559399643856524
53,20 Ave & 31 St,95,92,3,187,0.007556675062972292,0.011892648181124395
54,20 Ave & 38 St,409,400,9,809,0.022670025188916875,0.05145001271940982
55,20 Ave & 42 St,137,142,-5,279,-0.021834061135371178,0.017743576698041212
56,20 Ave & 48 St,153,161,-8,314,-0.034934497816593885,0.019969473416433476
57,20 Ave & Shore Blvd,68,64,4,132,0.010075566750629723,0.00839481048079369
58,21 Ave & 80 St,133,139,-6,272,-0.026200873362445413,0.017298397354362758
59,21 Ave & Crescent St,724,716,8,1440,0.020151133501259445,0.09157975069956754
60,21 Ave & Shore Blvd,390,383,7,773,0.017632241813602016,0.04916051895192063
61,21 St & 21 Ave,393,395,-2,788,-0.008733624454148471,0.05011447468837446
62,21 St & 23 Ave,211,200,11,411,0.027707808564231738,0.0261383871788349
63,21 St & 31 Dr,542,536,6,1078,0.015113350125944584,0.06855761892648181
64,21 St & 36 Ave,229,237,-8,466,-0.034934497816593885,0.029636224879165608
65,21 St & 38 Ave,89,94,-5,183,-0.021834061135371178,0.011638259984736709
66,21 St & 4 Ave,482,486,-4,968,-0.017467248908296942,0.0615619435258204
67,21 St & 43 Ave,370,382,-12,752,-0.05240174672489083,0.047824980920885274
68,21 St & Hoyt Ave S,412,416,-4,828,-0.017467248908296942,0.05265835665225133
69,21 St & Queens Plaza North,726,748,-22,1474,-0.09606986899563319,0.09374205036886288
70,23 Ave & 27 St,344,340,4,684,0.010075566750629723,0.04350038158229458
71,23 Rd & 31 St,196,175,21,371,0.05289672544080604,0.023594505214958025
72,23 St & 3 Ave,84,87,-3,171,-0.013100436681222707,0.010875095395573645
73,24 Ave & 26 St,370,359,11,729,0.027707808564231738,0.04636224879165607
74,24 Ave & 29 St,358,336,22,694,0.055415617128463476,0.0441363520732638
75,24 St & 38 Ave,321,322,-1,643,-0.004366812227074236,0.04089290256932079
76,24 St & 41 Ave,481,478,3,959,0.007556675062972292,0.060989570083948105
77,24 St & 5 Ave,294,295,-1,589,-0.004366812227074236,0.037458661918087
78,25 Ave & 41 St,625,621,4,1246,0.010075566750629723,0.0792419231747647
79,27 Ave & 3 St,241,236,5,477,0.012594458438287154,0.030335792419231747
80,27 Ave & 9 St,319,281,38,600,0.09571788413098237,0.03815822945815314
81,27 St & Hunter St,872,903,-31,1775,-0.13537117903930132,0.11288476214703638
82,28 Ave & 35 St,425,392,33,817,0.08312342569269521,0.0519587891121852
83,28 Ave & 44 St,463,463,0,926,0.0,0.058890867463749684
84,28 St & 36 Ave,581,584,-3,1165,-0.013100436681222707,0.07409056219791402
85,28 St & 41 Ave,846,858,-12,1704,-0.05240174672489083,0.10836937166115493
86,29 St & 5 Ave,198,204,-6,402,-0.026200873362445413,0.025566013736962604
87,3 Ave & 14 St,85,109,-24,194,-0.10480349344978165,0.01233782752480285
88,3 Ave & 17 St,128,119,9,247,0.022670025188916875,0.01570847112693971
89,3 Ave & Carroll St,481,489,-8,970,-0.034934497816593885,0.06168913762401425
90,3 Ave & E 100 St,499,500,-1,999,-0.004366812227074236,0.06353345204782498
91,3 Ave & E 112 St,556,544,12,1100,0.030226700251889168,0.0699567540066141
92,3 Ave & E 163 St,3,4,-1,7,-0.004366812227074236,0.00044517934367845335
93,3 Ave & E 169 St,463,465,-2,928,-0.008733624454148471,0.05901806156194352
94,3 Ave & E 170 St,344,351,-7,695,-0.03056768558951965,0.04419994912236072
95,3 Ave & E 172 St,236,241,-5,477,-0.021834061135371178,0.030335792419231747
96,3 Ave & E 174 St,140,126,14,266,0.03526448362720403,0.016916815059781227
97,3 Ave & E 62 St,3679,3665,14,7344,0.03526448362720403,0.46705672856779445
98,3 Ave & E 71 St,1325,1292,33,2617,0.08312342569269521,0.1664334774866446
99,3 Ave & E 72 St,1115,1134,-19,2249,-0.08296943231441048,0.14302976341897736
100,3 Ave & Franklin Ave,190,194,-4,384,-0.017467248908296942,0.02442126685321801
101,3 Ave & Schermerhorn St,968,984,-16,1952,-0.06986899563318777,0.12414143983719156
102,3 Ave & Wakeman Pl,82,79,3,161,0.007556675062972292,0.010239124904604427
103,3 St & 3 Ave,914,920,-6,1834,-0.026200873362445413,0.11663698804375477
104,3 St & 7 Ave,1314,1277,37,2591,0.09319899244332494,0.16477995421012465
