,hour,station_name,start_count,end_count,deficit
0,0,1 Ave & E 110 St,40.0,33.0,7.0
1,0,1 Ave & E 16 St,77.0,87.0,-10.0
2,0,1 Ave & E 18 St,58.0,93.0,-35.0
3,0,1 Ave & E 30 St,23.0,40.0,-17.0
4,0,1 Ave & E 39 St,32.0,52.0,-20.0
5,0,1 Ave & E 44 St,9.0,17.0,-8.0
6,0,1 Ave & E 6 St,94.0,85.0,9.0
7,0,1 Ave & E 62 St,53.0,75.0,-22.0
8,0,1 Ave & E 68 St,71.0,60.0,11.0
9,0,1 Ave & E 78 St,38.0,65.0,-27.0
10,0,1 Ave & E 94 St,9.0,13.0,-4.0
11,0,1 Pl & Clinton St,7.0,6.0,1.0
12,0,1 St & 6 Ave,1.0,6.0,-5.0
13,0,10 Ave & W 14 St,14.0,9.0,5.0
14,0,10 Ave & W 202 St,1.0,1.0,0.0
15,0,10 Ave & W 204 St,1.0,0.0,1.0
16,0,10 Ave & W 207 St,2.0,7.0,-5.0
17,0,10 Ave & W 28 St,54.0,104.0,-50.0
18,0,10 St & 2 Ave,6.0,1.0,5.0
19,0,10 St & 5 Ave,9.0,16.0,-7.0
20,0,10 St & 7 Ave,24.0,14.0,10.0
21,0,11 Ave & Prospect Ave,4.0,7.0,-3.0
22,0,11 Ave & W 27 St,34.0,53.0,-19.0
23,0,11 Ave & W 41 St,49.0,101.0,-52.0
24,0,11 Ave & W 59 St,15.0,26.0,-11.0
25,0,11 St & 43 Ave,4.0,2.0,2.0
26,0,12 Ave & 36 St,10.0,6.0,4.0
27,0,12 Ave & W 125 St,7.0,4.0,3.0
28,0,12 Ave & W 40 St,12.0,8.0,4.0
29,0,12 St & 4 Ave,11.0,16.0,-5.0
30,0,14 St & 5 Ave,14.0,14.0,0.0
31,0,14 St & 7 Ave,16.0,15.0,1.0
32,0,16th St & 4th Ave,1.0,6.0,-5.0
33,0,17 St & 5 Ave,10.0,14.0,-4.0
34,0,18 St & 27 Ave,4.0,13.0,-9.0
35,0,19 St & 24 Ave,5.0,6.0,-1.0
